age,charge
58,47496.49445
35,39774.27630
27,39611.75770
36,38709.17600
34,37701.87680
30,36837.46700
22,35585.57600
64,30166.61817
60,28923.13692
62,27808.72510
48,23568.27200
53,23244.79020
33,21984.47061
42,19964.74630
50,19749.38338
19,16884.92400
20,14711.74380
63,14451.83515
61,14235.07200
59,14001.13380
55,12268.63225
54,12105.32000
57,11356.66090
56,11090.71780
52,10797.33620
47,10115.00885
51,9877.60770
43,8606.21740
49,8601.32930
46,8240.58960
40,8059.67910
45,7935.29115
44,7726.85400
37,7281.50560
41,6272.47720
38,6079.67150
39,5649.71500
28,4449.46200
29,3947.41310
32,3866.85520
31,3756.62160
21,3579.82870
24,3046.06200
25,2721.32080
26,2302.30000
23,1826.84300
18,1725.55230
